load_container;start_container;start_application;stop_container;remove_container;remove_image;image_size;application;service;deployment_type;date_time
6678670594;17787277384;10298615;2113799575;554070399;254824755;2048;rabbitmq;lxc;vm;2024-07-18 07:34:49
6771615311;17872899186;9238184;2159216142;555598300;256127705;2048;rabbitmq;lxc;vm;2024-07-18 07:35:17
6887581219;17855471712;7630816;2125261387;546236785;257220028;2048;rabbitmq;lxc;vm;2024-07-18 07:35:44
6653995052;17842845764;10571602;2177811572;560918573;256702262;2048;rabbitmq;lxc;vm;2024-07-18 07:36:12
6666254391;17830492742;7288253;2093187859;549195513;255704160;2048;rabbitmq;lxc;vm;2024-07-18 07:36:39
6663722718;17970486993;7376478;2174839813;554799190;255290943;2048;rabbitmq;lxc;vm;2024-07-18 07:37:07
6747095924;17622483244;8258413;2263341409;557443266;257763771;2048;rabbitmq;lxc;vm;2024-07-18 07:37:35
6776375078;17649127814;7069099;2147594535;559737659;257412279;2048;rabbitmq;lxc;vm;2024-07-18 07:38:02
6733396531;17961545820;9531062;2114032545;545570425;259059574;2048;rabbitmq;lxc;vm;2024-07-18 07:38:30
6728912958;17697897692;7820741;2108925615;546759421;262509630;2048;rabbitmq;lxc;vm;2024-07-18 07:38:57
6660988077;17858523128;7530427;2093589885;546563715;255964031;2048;rabbitmq;lxc;vm;2024-07-18 07:39:25
6703501713;18501459722;6824299;2208555356;551178815;256599449;2048;rabbitmq;lxc;vm;2024-07-18 07:39:53
6656960095;17571911256;6782480;2110901395;549948264;257282503;2048;rabbitmq;lxc;vm;2024-07-18 07:40:20
6697853013;18138963391;7149451;2221368299;557715621;257814294;2048;rabbitmq;lxc;vm;2024-07-18 07:40:48
6665590369;17937495171;6995885;2179970014;544353498;256620453;2048;rabbitmq;lxc;vm;2024-07-18 07:41:16
6677357641;17710778168;7869980;2244446436;546092517;256007611;2048;rabbitmq;lxc;vm;2024-07-18 07:41:43
6672838752;17917614803;6989427;2160025112;549985939;259968648;2048;rabbitmq;lxc;vm;2024-07-18 07:42:11
6721197854;17578391859;6903303;2165224167;549548359;258134280;2048;rabbitmq;lxc;vm;2024-07-18 07:42:38
6647664217;18145024507;32833891;1187887203;602406643;270604788;2048;rabbitmq;lxc;vm;2024-07-18 07:43:05
6669719052;17637978920;8680890;2157939599;556038448;257694808;2048;rabbitmq;lxc;vm;2024-07-18 07:43:33
6724955536;17615298818;6931161;2113652912;557190821;258598070;2048;rabbitmq;lxc;vm;2024-07-18 07:44:00
6750977859;17950776294;7704916;2104503992;585961954;261225341;2048;rabbitmq;lxc;vm;2024-07-18 07:44:28
6869452827;18672197389;7830249;2162912694;831263481;257496645;2048;rabbitmq;lxc;vm;2024-07-18 07:44:57
6660484907;18128510518;7197753;2127496491;558159430;258074874;2048;rabbitmq;lxc;vm;2024-07-18 07:45:24
6734834166;17946128977;6912519;2148812129;733125183;305847198;2048;rabbitmq;lxc;vm;2024-07-18 07:45:52
6763500421;18036499626;7484691;2126830615;550982145;257071318;2048;rabbitmq;lxc;vm;2024-07-18 07:46:20
